EventID,Reference,,,,
164,Exodus 14:21-22,,,,
165,Exodus 14:24-25,,,,
166,Exodus 14:26,,,,
167,Exodus 14:28,,,,
168,Exodus 15:23-25,,,,
169,Exodus 15:25-26,,,,
170,Exodus 16:4-5,,,,
171,Exodus 16:10,,,,
172,Exodus 16:11-12,,,,
173,Exodus 16:13-14,,,,
174,Exodus 16:23-30,,,,
175,Exodus 16:32-34,,,,
176,Exodus 17:5-6,,,,
177,Exodus 17:6,,,,
178,Exodus 17:8-13,,,,
179,Exodus 17:14,,,,
180,Exodus 19:3-6,,,,
181,Exodus 19:9-13,,,,
182,Exodus 19:16-25,,,,
183,Exodus 20:1-17,,,,
184,Exodus 20:22-26,,,,
185,Exodus 21:1-23:19,,,,
186,Exodus 23:20-33,,,,
187,Exodus 24:9-11,,,,
188,Exodus 24:12-18,,,,
189,Exodus 25:1-31:18,,,,
190,"Exodus 31:18, 32:15-16",,,,
191,Exodus 32:7-10,,,,
192,Exodus 32:11-14,,,,
193,Exodus 32:33-34,,,,
194,Exodus 32:35,,,,
195,Exodus 33:1-6,,,,
196,Exodus 33:9-11,,,,
197,Exodus 33:12-23,,,,
198,Exodus 34:1-4,,,,
199,Exodus 33:21-34:5,,,,
200,Exodus 34:5-7,,,,
201,Exodus 34:10-28,,,,
202,Exodus 34:29-35,,,,
203,Exodus 35:30-35,,,,
204,Exodus 40:1-15,,,,
205,Exodus 40:34-38,,,,
206,Exodus 40:36-38,,,,
207,Leviticus 1:1-17,,,,
208,Leviticus 2:1-16,,,,
209,Leviticus 3:1-17,,,,
210,Leviticus 4:1-5:13,,,,
211,Leviticus 5:14-6:7,,,,
212,Leviticus 6:8-7:38,,,,
213,Leviticus 8:1-5,,,,
214,Leviticus 9:24,,,,
215,Leviticus 10:1-2,,,,
216,Leviticus 10:3,,,,
217,Leviticus 10:8-11,,,,
218,Leviticus 11:1-47,,,,
219,Leviticus 12:1-8,,,,
220,Leviticus 13:1-59,,,,
221,Leviticus 14:1-57,,,,
222,Leviticus 15:1-33,,,,
223,Leviticus 16:1-34,,,,
224,Leviticus 17:1-16,,,,
225,Leviticus 18:1-30,,,,
226,Leviticus 19:1-37,,,,
227,Leviticus 20:1-27,,,,
228,Leviticus 21:1-24,,,,
229,Leviticus 22:1-33,,,,
230,Leviticus 23:1-44,,,,
231,Leviticus 24:1-4,,,,
232,Leviticus 24:5-9,,,,
233,Leviticus 24:13-16,,,,
234,Leviticus 24:17-22,,,,
235,Leviticus 25:1-55,,,,
236,Leviticus 26:1-10,,,,
237,Leviticus 26:11-12,,,,
238,Leviticus 26:14-39,,,,
239,Leviticus 26:40-46,,,,
240,Leviticus 27:1-34,,,,
241,Numbers 1:1-54,,,,
242,Numbers 2:1-34,,,,
243,Numbers 3:5-51,,,,
244,Numbers 4:1-49,,,,
245,Numbers 5:1-4,,,,
246,Numbers 5:5-10,,,,
247,Numbers 5:11-31,,,,
248,Numbers 6:1-21,,,,
249,Numbers 6:22-27,,,,
250,Numbers 7:1-89,,,,
251,Numbers 7:89,,,,
252,Numbers 8:1-4,,,,
253,Numbers 8:5-26,,,,
254,Numbers 9:1-14,,,,
255,Numbers 9:15-23,,,,
256,Numbers 10:1-10,,,,
257,Numbers 10:11-28,,,,
258,"Numbers 11:1-3, 11:10",,,,
259,Numbers 11:2,,,,
260,Numbers 11:16-25,,,,
261,Numbers 11:25,,,,
262,Numbers 11:26-29,,,,
263,Numbers 11:31,,,,
264,Numbers 11:33-34,,,,
265,Numbers 12:4,,,,
266,Numbers 12:5,,,,
267,Numbers 12:6-9,,,,
268,Numbers 12:10,,,,
269,Numbers 12:13,,,,
270,Numbers 12:14-15,,,,
271,Numbers 13:1-3,,,,
272,Numbers 14:10,,,,
273,Numbers 14:11-12,,,,
274,Numbers 14:20-35,,,,
275,Numbers 14:36-37,,,,
276,Numbers 14:39-45,,,,
277,Numbers 15:1-31,,,,
278,Numbers 15:32-36,,,,
279,Numbers 15:37-41,,,,
280,Numbers 16:20-21,,,,
281,Numbers 16:31-33,,,,
282,Numbers 16:31-33,,,,
283,Numbers 16:35,,,,
284,Numbers 16:36-40,,,,
285,Numbers 16:42,,,,
286,Numbers 16:44-45,,,,
287,Numbers 16:46-47,,,,
288,Numbers 16:47-48,,,,
289,Numbers 16:49,,,,
290,Numbers 17:1-9,,,,
291,Numbers 17:8,,,,
292,Numbers 17:10,,,,
293,Numbers 18:1-32,,,,
294,Numbers 19:1-22,,,,
295,Numbers 20:7-8,,,,
296,Numbers 20:11,,,,
297,Numbers 20:12,,,,
298,Numbers 20:22-26,,,,
299,Numbers 21:3,,,,
300,Numbers 21:6,,,,
301,Numbers 21:8,,,,
302,Numbers 21:9,,,,
303,Numbers 21:21-32,,,,
304,Numbers 21:33-35,,,,
305,Numbers 22:9-12,,,,
306,Numbers 22:20,,,,
307,Numbers 22:22,,,,
308,Numbers 22:21-30,,,,
309,Numbers 22:31,,,,
310,Numbers 22:32-35,,,,
311,"Numbers 23:4, 23:16",,,,
312,"Numbers 23:5, 23:16",,,,
313,"Numbers 23:7-10, 18-24; 24:3-9, 24:15-24",,,,
314,Numbers 24:2,,,,
315,Numbers 25:3-4,,,,
316,Numbers 25:8-9,,,,
317,Numbers 25:8,,,,
318,Numbers 25:9,,,,
319,Numbers 25:10-13,,,,
320,Numbers 25:17-18,,,,
321,Numbers 26:1-65,,,,
322,Numbers 27:6-11,,,,
323,Numbers 27:12-14,,,,
324,Numbers 27:18-23,,,,
325,Numbers 28:1-30:16,,,,
326,Numbers 31:1-2,,,,
327,Numbers 31:7-11,,,,
328,Numbers 31:25-54,,,,
329,Numbers 33:1-49,,,,
330,Numbers 33:50-56,,,,
331,Numbers 34:1-29,,,,
332,Numbers 35:1-8,,,,
333,Numbers 35:9-34,,,,
334,Numbers 36:1-13,,,,
335,Deuteronomy 1:6-8,,,,
336,Deuteronomy 1:8,,,,
337,Deuteronomy 1:9-18,,,,
338,Deuteronomy 1:19-25,,,,
339,Deuteronomy 1:29-33,,,,
340,Deuteronomy 1:34-45,,,,
341,Deuteronomy 2:5,,,,
342,Deuteronomy 2:9-19,,,,
343,Deuteronomy 2:19-21,,,,
344,Deuteronomy 2:24-25,,,,
345,Deuteronomy 2:30-36,,,,
346,Deuteronomy 2:30,,,,
347,Deuteronomy 3:1-11,,,,
348,Deuteronomy 3:21-22,,,,
349,Deuteronomy 3:23-27,,,,
350,Deuteronomy 4:3,,,,
351,"Deuteronomy 4:12, 15, 33, 36",,,,
352,Deuteronomy 4:25-28,,,,
353,Deuteronomy 4:29-31,,,,
354,Deuteronomy 4:37,,,,
355,Deuteronomy 5:4-21,,,,
356,"Deuteronomy 5:4, 22, 24, 26",,,,
357,Deuteronomy 5:22,,,,
358,Deuteronomy 6:4-9,,,,
359,Deuteronomy 6:10-15,,,,
360,Deuteronomy 6:16-21,,,,
361,Deuteronomy 7:1-5,,,,
362,Deuteronomy 7:6-8,,,,
363,Deuteronomy 7:12-16,,,,
364,Deuteronomy 7:20,,,,
365,Deuteronomy 8:2-4,,,,
366,Deuteronomy 8:7-10,,,,
367,Deuteronomy 8:11-20,,,,
368,Deuteronomy 9:3-5,,,,
369,Deuteronomy 9:7-21,,,,
370,Deuteronomy 10:1-5,,,,
371,Deuteronomy 10:8,,,,
372,Deuteronomy 10:12-13,,,,
373,Deuteronomy 11:14-15,,,,
374,Deuteronomy 11:16-17,,,,
375,Deuteronomy 11:22-25,,,,
376,Deuteronomy 11:26-28,,,,
377,Deuteronomy 12:5-14,,,,
378,Deuteronomy 12:15-28,,,,
379,Deuteronomy 13:1-18,,,,
380,Deuteronomy 14:1-2,,,,
381,Deuteronomy 14:3-21,,,,
382,Deuteronomy 14:22-29,,,,
383,Deuteronomy 15:1-18,,,,
384,Deuteronomy 15:19-23,,,,
385,Deuteronomy 16:1-17,,,,
386,Deuteronomy 16:18-20,,,,
387,Deuteronomy 16:21-22,,,,
388,Deuteronomy 17:1-13,,,,
389,Deuteronomy 17:14-20,,,,
390,Deuteronomy 18:1-8,,,,
391,"Deuteronomy 18:9-14, 20-22",,,,
392,Deuteronomy 18:15-19,,,,
393,Deuteronomy 19:1-13,,,,
394,Deuteronomy 19:15-21,,,,
395,Deuteronomy 20:1-20,,,,
396,Deuteronomy 20:4,,,,
397,Deuteronomy 21:1-25:19,,,,
398,Deuteronomy 26:1-11,,,,
399,Deuteronomy 26:12-15,,,,
400,Deuteronomy 26:16-19,,,,
401,Deuteronomy 27:1-8,,,,
402,Deuteronomy 27:15-26,,,,
403,Deuteronomy 28:1-14,,,,
404,Deuteronomy 28:15-68,,,,
405,Deuteronomy 29:5,,,,
406,Deuteronomy 29:10-29,,,,
407,Deuteronomy 30:1-10,,,,
408,Deuteronomy 30:11-20,,,,
409,"Deuteronomy 31:2, 14",,,,
410,Deuteronomy 31:15,,,,
411,Deuteronomy 31:16-18,,,,
412,Deuteronomy 31:19-22,,,,
413,Deuteronomy 31:23,,,,
414,Deuteronomy 32:1-43,,,,
415,Deuteronomy 32:48-52,,,,
416,Deuteronomy 33:1-29,,,,
417,Deuteronomy 34:1-4,,,,
418,Deuteronomy 34:5-6,,,,
419,Deuteronomy 34:7,,,,
420,Joshua 1:1-9,,,,
421,"Joshua 1:5, 9",,,,
422,"Joshua 1:6-7, 9",,,,
423,Joshua 1:7-8,,,,
424,Joshua 2:1-7,,,,
425,Joshua 2:8-21,,,,
426,Joshua 2:15-24,,,,
427,Joshua 3:1-4,,,,
428,Joshua 3:7,,,,
429,Joshua 3:8,,,,
430,Joshua 3:15-17,,,,
431,Joshua 3:17,,,,
432,Joshua 4:1-9,,,,
433,Joshua 4:18,,,,
434,Joshua 4:14,,,,
435,Joshua 5:2-3,,,,
436,Joshua 5:9,,,,
437,Joshua 5:12,,,,
438,Joshua 5:13-15,,,,
439,Joshua 5:14-15,,,,
440,Joshua 6:2-5,,,,
441,Joshua 6:20,,,,
442,"Joshua 6:17, 23, 25",,,,
443,Joshua 6:26,,,,
444,Joshua 7:1,,,,
445,Joshua 7:4-5,,,,
446,Joshua 7:6-9,,,,
447,Joshua 7:10-15,,,,
448,Joshua 7:16-18,,,,
449,Joshua 7:19-21,,,,
450,Joshua 7:24-26,,,,
451,Joshua 8:1,,,,
452,Joshua 8:1-2,,,,
453,"Joshua 8:7, 18",,,,
454,"Joshua 8:18, 26",,,,
455,Joshua 8:24-29,,,,
456,Joshua 8:30-32,,,,
457,Joshua 9:3-15,,,,
458,Joshua 9:14-15,,,,
459,Joshua 10:12-14,,,,
460,Joshua 10:14,,,,
461,Joshua 10:11,,,,
462,Joshua 10:11,,,,
463,Joshua 10:16-17,,,,
464,Joshua 10:18,,,,
465,"Joshua 10:19, 24-25",,,,
466,Joshua 10:28-43,,,,
467,Joshua 11:1-5,,,,
468,Joshua 11:6,,,,
469,Joshua 11:6,,,,
470,Joshua 11:7-8,,,,
471,Joshua 11:9-13,,,,
472,Joshua 11:20,,,,
473,Joshua 11:23,,,,
474,Joshua 13:1-7,,,,
475,Joshua 13:1,,,,
476,Joshua 14:6-15,,,,
477,Joshua 14:10-11,,,,
478,Joshua 14:15,,,,
479,Joshua 20:1-9,,,,
480,Joshua 21:1-45,,,,
481,Joshua 21:43,,,,
482,Joshua 21:44,,,,
483,Joshua 21:45,,,,
484,Joshua 22:10-11,,,,
485,Joshua 22:12-20,,,,
486,Joshua 22:21-29,,,,
487,Joshua 22:30-34,,,,
488,Joshua 23:1-2,,,,
489,Joshua 23:3-5,,,,
490,Joshua 23:11-16,,,,
491,Joshua 24:14-15,,,,
492,Joshua 24:12,,,,
493,Joshua 24:25-28,,,,
494,Judges 1:2,,,,
495,Judges 2:1,,,,
496,Judges 2:1-3,,,,
497,Judges 2:13-15,,,,
498,Judges 2:16,,,,
499,Judges 2:18,,,,
500,Judges 2:20-22,,,,
501,Judges 2:23-3:4,,,,
502,Judges 3:8,,,,
503,Judges 3:9,,,,
504,Judges 3:10,,,,
505,Judges 3:10,,,,
506,Judges 3:10,,,,
507,Judges 3:11,,,,
508,Judges 3:12,,,,
509,Judges 3:15,,,,
510,Judges 3:15-30,,,,
511,Judges 3:28-29,,,,
512,Judges 3:30,,,,
513,Judges 3:31,,,,
514,Judges 4:1-2,,,,
515,Judges 4:4,,,,
516,Judges 4:6,,,,
517,Judges 4:7,,,,
518,Judges 4:15,,,,
519,Judges 4:16,,,,
520,Judges 4:17-22,,,,
521,Judges 4:23-24,,,,
522,Judges 5:20,,,,
523,Judges 5:21,,,,
524,Judges 5:23,,,,
525,Judges 5:31,,,,
526,Judges 6:1,,,,
527,Judges 6:2-6,,,,
528,Judges 6:8-10,,,,
529,Judges 6:8-9,,,,
530,Judges 6:11-12,,,,
531,Judges 6:12,,,,
532,Judges 6:12,,,,
533,Judges 6:14,,,,
534,Judges 6:16,,,,
535,Judges 6:18,,,,
536,Judges 6:20,,,,
537,Judges 6:21,,,,
538,Judges 6:21,,,,
539,Judges 6:23,,,,
540,Judges 6:25-26,,,,
541,Judges 6:34,,,,
542,Judges 6:34-35,,,,
543,Judges 6:38,,,,
544,Judges 6:40,,,,
545,Judges 7:2-3,,,,
546,Judges 7:3,,,,
547,Judges 7:4-7,,,,
548,Judges 7:7,,,,
549,Judges 7:7,,,,
550,Judges 7:9,,,,
551,Judges 7:10-15,,,,
552,Judges 7:13-14,,,,
553,Judges 7:22,,,,
554,Judges 7:25,,,,
555,Judges 8:28,,,,
556,Judges 9:20,,,,
557,Judges 9:23-24,,,,
558,Judges 9:56-57,,,,
559,Judges 10:1,,,,
560,Judges 10:3,,,,
561,Judges 10:7,,,,
562,Judges 10:8,,,,
563,Judges 10:11-14,,,,
564,Judges 10:16,,,,
565,Judges 11:29,,,,
566,Judges 11:32-33,,,,
567,Judges 13:1,,,,
568,Judges 13:3,,,,
569,Judges 13:3-5,,,,
570,Judges 13:4-5,,,,
571,Judges 13:5,,,,
572,Judges 13:9,,,,
573,Judges 13:13-14,,,,
574,Judges 13:18,,,,
575,Judges 13:20,,,,
576,Judges 13:24,,,,
577,Judges 13:24,,,,
578,Judges 13:25,,,,
