Patriarch,Event,Ref,Calendar Year,Calendar Year+Length,Length,Years Since Creation,Meaning,Number of Records,Year
Eber,Son's Birth to Death,"Gen 11:17 ""And Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters.""",-2247,1817 BC,430,1757,the region beyond,1,-2247
Peleg,Birth to Son's Birth,"Gen 11:18 ""And Peleg lived thirty years, and begat Reu:""",-2247,2217 BC,30,1757,division,1,-2247
Peleg,Son's Birth to Death,"Gen 11:19 ""And Peleg lived after he begat Reu two hundred and nine years, and begat sons and daughters.""",-2217,2008 BC,209,1787,division,1,-2217
Reu,Birth to Son's Birth,"Gen 11:20 ""And Reu lived two and thirty years, and begat Serug:""",-2217,2185 BC,32,1787,friend,1,-2217
Reu,Son's Birth to Death,"Gen 11:21 ""And Reu lived after he begat Serug two hundred and seven years, and begat sons and daughters.""",-2185,1978 BC,207,1819,friend,1,-2185
Serug,Birth to Son's Birth,"Gen 11:22 ""And Serug lived thirty years, and begat Nahor:""",-2185,2155 BC,30,1819,branch,1,-2185
Nahor,Birth to Son's Birth,"Gen 11:24 ""And Nahor lived nine and twenty years, and begat Terah:""",-2155,2126 BC,29,1849,snorting,1,-2155
Serug,Son's Birth to Death,"Gen 11:23 ""And Serug lived after he begat Nahor two hundred years, and begat sons and daughters.""",-2155,1955 BC,200,1849,branch,1,-2155
Nahor,Son's Birth to Death,"Gen 11:25 ""And Nahor lived after he begat Terah an hundred and nineteen years, and begat sons and daughters.""",-2126,2007 BC,119,1878,snorting,1,-2126
Terah,Birth to Son's Birth,"Gen 11:26 ""And Terah lived seventy years, and begat Abram, Nahor, and Haran.""
Note: Not all of Terah's sons would have been born the same year. In light of Acts 7:4 and Gen 12:4, Abram was born when Terah was 130 years old.",-2126,1996 BC,130,1878,station,1,-2126
Abraham,Birth to Son's Birth,"Gen 21:5 ""And Abraham was an hundred years old, when his son Isaac was born unto him.""",-1996,1896 BC,100,2008,exalted father,1,-1996
Terah,Son's Birth to Death,"Gen 11:32 ""And the days of Terah were two hundred and five years: and Terah died in Haran.""",-1996,1921 BC,75,2008,station,1,-1996
Abraham,Son's Birth to Death,"Gen 25:7 ""And these are the days of the years of Abraham's life which he lived, an hundred threescore and fifteen years.""",-1896,1821 BC,75,2108,exalted father,1,-1896
